,Experiment,Experiment,Control,Control
208756_at,2552.1277,2567.0579,2768.1726,3163.952
208767_s_at,6377.671,6555.8535,4962.937,4151.999
208768_x_at,8244.675,8622.672,7724.909,7303.7666
208774_at,416.12698,402.90286,375.99713,321.6472
208777_s_at,2622.6084,2962.8818,2594.3682,2664.4348
208779_x_at,453.73932,526.11145,564.624,519.2895
208780_x_at,4879.465,4254.2563,4167.4937,4336.288
208790_s_at,76.78132,78.33191,82.479,79.582886
208805_at,6426.831,6216.553,5826.1016,4963.0225
208825_x_at,10948.725,12419.102,12432.506,11319.849
208826_x_at,6326.963,5711.554,5852.8286,5192.5894
208827_at,3587.7405,3862.5337,2978.982,2830.8713
208834_x_at,11101.097,12536.888,12531.278,11728.909
208856_x_at,9011.254,9678.797,9013.333,9651.905
208861_s_at,1420.3865,1372.8374,1219.9686,1054.4294
208862_s_at,691.2956,680.43005,449.4496,401.01978
208865_at,1881.7473,1863.3534,1498.1669,1724.09
208880_s_at,459.11765,495.61707,462.65598,397.3254
208904_s_at,8447.689,7744.2666,6562.0493,6382.116
208919_s_at,363.23294,371.74435,264.1916,215.04213
208923_at,1929.3007,1834.3025,1319.913,1190.039
208929_x_at,8596.157,8358.437,7197.628,6979.7056
208949_s_at,941.96643,880.71405,548.6905,489.22256
209002_s_at,72.19778,78.78177,38.844894,40.23481
209069_s_at,6458.342,6236.973,6015.556,6140.1807
209080_x_at,2739.826,2365.2922,2217.7874,2091.031
209088_s_at,528.314,563.13416,508.66565,492.61798
209090_s_at,465.8479,427.82166,335.37054,292.6637
209091_s_at,810.06335,816.1947,822.24036,732.7303
209134_s_at,11287.74,11700.884,10716.928,10529.6875
209152_s_at,376.6673,368.43387,327.0942,272.24905
209192_x_at,190.09486,178.40698,156.10228,139.96867
209202_s_at,272.01126,297.96024,187.70476,165.98087
209208_at,438.431,440.3864,386.38083,348.69174
209247_s_at,266.00934,271.77042,247.7992,243.04005
209251_x_at,7621.946,7876.8926,8325.968,9302.366
209321_s_at,101.51941,112.27805,76.31649,72.03614
209333_at,106.028244,104.485886,86.62905,89.857216
209345_s_at,272.79886,296.97842,292.99878,290.66495
209370_s_at,92.90789,85.93445,70.21842,78.80557
209391_at,351.66254,314.459,280.71313,246.53639
209410_s_at,356.2826,375.05954,287.27628,254.22676
209431_s_at,354.50677,350.32797,306.22568,267.84122
209454_s_at,208.41699,188.35028,174.24005,175.63002
209503_s_at,2725.6938,2515.3362,2009.0007,1760.2664
209504_s_at,100.33669,97.855545,40.004704,31.243736
209561_at,88.50226,91.90174,50.02484,59.739384
209578_s_at,250.40161,231.37126,178.75983,178.39323
209615_s_at,359.4385,379.23315,274.60632,236.29413
209643_s_at,172.06288,185.62776,150.66917,161.57227
209650_s_at,103.60715,99.291275,72.82355,74.14737
209668_x_at,120.707855,119.238556,100.155655,103.92992
209675_s_at,180.71057,201.00151,132.04193,146.53702
209682_at,498.3234,465.75122,421.84567,362.13562
209698_at,185.15147,176.27734,88.253586,82.65163
209761_s_at,80.36678,86.45268,80.56663,81.589455
209771_x_at,10029.299,10924.744,10120.92,9348.514
209820_s_at,175.0895,187.81262,205.44896,200.5301
209831_x_at,288.5936,327.5659,176.88538,169.01541
209849_s_at,305.21664,336.83557,137.22685,121.1152
209866_s_at,189.04918,170.44824,113.33244,120.63678
209873_s_at,179.88547,188.99402,93.53555,98.617294
209899_s_at,1416.8334,1556.3918,1356.4441,1238.0217
209929_s_at,165.46658,164.96007,121.51625,111.30596
209947_at,283.16782,322.49176,245.73076,242.9476
210014_x_at,1395.6053,1344.7068,1026.7668,1088.122
210101_x_at,815.7772,789.2597,833.1683,777.01215
210125_s_at,426.36542,454.42337,379.50174,361.8738
210131_x_at,1111.161,1206.6764,931.5782,811.9821
210183_x_at,3634.248,4015.9648,3521.1099,3374.6985
210214_s_at,102.42999,104.2976,89.47462,81.39964
210231_x_at,9233.279,8650.727,8197.2,7359.8364
210250_x_at,2978.6157,2638.7617,1967.1882,1769.5508
210285_x_at,341.10498,397.32224,468.02954,470.16544
210427_x_at,5631.907,5554.1895,7000.0547,6249.6475
210428_s_at,174.6915,158.36606,131.93042,130.77888
210453_x_at,7403.6553,7179.362,6411.873,6601.751
210469_at,75.566185,71.606674,43.881493,45.40622
210473_s_at,598.78253,613.2766,642.9377,664.26196
210501_x_at,3379.4043,3158.7004,2541.2024,2273.8433
210502_s_at,515.0674,520.23126,305.9491,260.0577
210529_s_at,106.64866,102.59399,109.257774,105.76609
210646_x_at,12016.56,12751.81,11865.505,11426.786
210655_s_at,69.46731,65.84288,47.259907,47.507225
210686_x_at,422.07104,398.2194,345.16418,323.60046
210974_s_at,332.72647,305.93372,262.32535,274.8713
210986_s_at,7690.619,8385.183,8976.593,7892.8784
210987_x_at,4419.834,4867.812,6135.7217,5868.282
210993_s_at,518.121,461.19916,479.1695,437.20563
211058_x_at,8561.553,9520.147,9431.658,9892.651
211072_x_at,7811.9604,8928.681,8831.152,9792.74
211073_x_at,11202.561,11314.746,9635.776,9176.945
211159_s_at,231.5287,240.32875,200.50333,195.7571
211205_x_at,77.58476,70.94191,62.86591,66.47364
211240_x_at,619.09595,638.0564,515.9009,439.3202
211251_x_at,218.85078,235.27168,216.76318,206.61328
211296_x_at,8742.702,8754.419,8916.524,9033.059
211337_s_at,242.07768,218.19604,134.22957,128.81137
211345_x_at,7874.893,8102.4116,7120.42,6917.1016
211378_x_at,8791.592,10275.728,9634.445,9862.342
211382_s_at,239.12914,225.81789,252.106,234.17972
211465_x_at,114.64591,113.80326,83.41815,70.087364
211487_x_at,8266.072,8734.424,6748.0586,7620.8374
211503_s_at,705.1723,776.5515,625.7779,597.6851
211537_x_at,288.93375,278.15555,281.22406,240.69505
211542_x_at,12393.44,12775.417,12317.345,12430.058
211561_x_at,91.32528,89.35723,68.08153,68.97293
211593_s_at,189.96448,190.80212,134.66977,131.07011
211628_x_at,9751.63,9338.347,7617.4126,6655.4355
211630_s_at,380.55634,379.07022,292.19955,262.98584
211666_x_at,9060.525,9282.274,7349.408,6535.154
211672_s_at,390.7282,428.30072,531.2863,493.53354
211699_x_at,67.90639,72.048454,38.516685,36.9879
211714_x_at,8328.379,8938.98,7862.254,8182.843
211716_x_at,279.93298,245.36766,273.15472,249.03021
211720_x_at,9615.206,9801.055,9342.323,9605.409
211750_x_at,7505.833,8027.5454,8053.962,8881.652
211752_s_at,883.8319,845.5774,684.9397,626.183
211755_s_at,6349.861,6315.3843,5915.072,4945.433
211765_x_at,9168.335,10567.795,9982.786,10361.83
211780_x_at,293.37048,298.62415,251.02559,290.04727
211783_s_at,1254.96,1198.0139,768.2886,798.5274
211828_s_at,127.70002,141.95361,211.57098,220.42462
211858_x_at,4540.8076,4100.7925,3576.351,3355.4438
211927_x_at,8381.581,8343.73,7627.6465,7538.367
211934_x_at,742.2198,692.5937,424.2229,433.6205
211940_x_at,9679.027,10600.069,10146.368,9993.04
211941_s_at,5163.56,4850.9478,3619.3481,3510.4612
211942_x_at,7651.4824,8067.208,6985.8633,7558.0713
211943_x_at,9598.484,9522.193,9218.74,9602.026
211944_at,901.8513,1056.3927,949.7658,892.83093
211970_x_at,9880.685,10577.992,10308.909,10926.419
211972_x_at,9951.786,9121.829,8259.643,8223.708
211976_at,460.7375,440.07852,311.95752,323.78064
211978_x_at,9360.28,10747.874,10068.49,10462.324
211983_x_at,10550.876,11700.977,11240.741,11462.487
211995_x_at,9360.658,10048.908,9741.045,10435.297
211997_x_at,6043.5405,5756.143,5375.1235,5132.602
212000_at,118.709465,100.96977,113.05701,111.29574
212034_s_at,319.52438,340.7417,373.99866,335.74808
212039_x_at,11269.161,11334.465,9330.825,9125.207
212042_x_at,11136.722,12760.166,11596.769,11216.966
212052_s_at,213.24663,194.24077,171.58958,159.04189
212057_at,972.9024,929.7092,681.7024,559.26825
212071_s_at,3949.135,4505.395,4498.993,4198.185
212077_at,6752.6816,5857.156,7853.8857,7662.719
212082_s_at,8313.879,8356.31,8463.871,8275.716
212085_at,4664.62,4971.8325,4138.6816,3978.092
212092_at,92.09425,105.34144,106.65426,100.1778
212127_at,255.72786,285.05963,305.63577,304.27444
212139_at,1317.2781,1238.8191,911.44885,767.3273
212144_at,69.318115,63.326897,62.984062,59.10765
212146_at,87.97752,88.86222,75.44146,79.42294
212159_x_at,474.53333,460.7765,468.8058,427.70175
212191_x_at,8422.715,8467.167,7227.7563,6781.7944
212194_s_at,196.75928,193.5249,198.57355,214.93335
212198_s_at,202.66745,183.85994,135.29433,129.5535
212212_s_at,320.83557,348.56683,241.04448,230.78073
212270_x_at,9027.023,9255.358,9026.146,8774.29
212273_x_at,5739.243,5824.1724,5174.1587,5038.8896
212274_at,147.66664,155.47168,175.92834,159.48616
212284_x_at,11001.759,11041.225,10788.162,10814.073
212288_at,447.82117,438.20935,407.47522,349.50406
212294_at,790.977,892.8032,1178.7024,1045.8322
212316_at,295.6715,308.83017,180.09993,204.98956
212318_at,1766.8788,1790.6643,1212.8645,1033.3689
212329_at,543.35223,556.70624,416.42667,446.7777
212343_at,237.53485,226.4913,152.30421,124.899376
212356_at,143.32553,149.05292,116.0547,123.32655
212361_s_at,1237.1995,1250.8271,1011.5957,829.60535
212363_x_at,8971.669,9573.221,9329.197,9891.585
212383_at,191.23611,175.39705,118.74035,131.14767
212386_at,3051.4702,2731.6355,2999.804,2685.9863
212391_x_at,12346.056,12812.587,12963.319,12753.167
212422_at,521.639,556.88806,438.18967,488.63953
212430_at,255.43964,295.47534,207.56888,203.20981
212433_x_at,10362.755,11154.824,10277.731,10144.631
212445_s_at,901.6546,821.34186,737.9933,790.1978
212460_at,2008.1763,2000.8989,1702.8651,1468.3667
212461_at,3410.3552,3943.5994,4578.78,4738.86
212465_at,1102.7731,1143.1509,974.5476,869.70734
212518_at,102.820984,92.743904,77.13177,68.939995
212532_s_at,1403.3179,1377.7375,1056.6615,960.2769
212537_x_at,8829.407,9188.648,9000.42,8902.278
212543_at,325.4873,356.50052,139.73643,132.383
212549_at,310.80014,311.8699,276.71902,284.32004
212573_at,86.459145,87.97223,55.66251,47.000713
212578_x_at,8122.0435,8571.78,7373.73,6989.531
212581_x_at,8176.084,9095.788,8812.864,8006.596
212605_s_at,377.43298,375.3954,276.997,229.6807
212618_at,84.42312,89.415695,56.704216,65.8736
212626_x_at,5251.9062,5453.392,4728.699,4305.3667
212639_x_at,10490.17,11825.187,11536.229,11531.3955
212656_at,763.90607,783.0553,683.82544,687.9418
212661_x_at,9812.309,11044.874,10449.13,10945.584
212680_x_at,1555.1824,1481.1198,1537.1664,1439.873
212691_at,294.3219,324.3256,309.6765,321.5343
212693_at,1972.8296,1963.4014,1711.4077,1549.686
212734_x_at,9512.555,9193.855,8242.0205,7513.5474
212748_at,125.80735,130.08998,84.90911,86.52086
212752_at,465.34683,505.0281,463.11618,432.89505
212769_at,91.72404,94.2224,67.16001,62.87216
212770_at,208.49864,224.13708,157.02026,176.32024
212774_at,736.26154,866.82495,999.5108,965.8186
212776_s_at,309.64172,325.20642,190.7455,214.2237
212788_x_at,10097.591,10589.929,9932.747,10223.496
212790_x_at,11931.865,12616.141,11515.109,10902.826
212805_at,195.46136,218.40962,202.81607,205.03293
212814_at,302.09894,275.58084,151.55486,144.1616
212816_s_at,1222.5641,1142.8917,669.0977,718.64136
212818_s_at,212.7726,233.75085,167.13527,145.44919
212844_at,100.968605,113.73389,74.46242,75.909004
212853_at,61.49847,56.50067,47.842037,47.94024
212856_at,174.64948,163.962,128.86055,124.96731
212869_x_at,10443.357,10593.968,10007.781,9866.339
212879_x_at,136.70097,151.4208,136.14194,121.91673
212916_at,153.34895,165.43564,143.5444,125.38418
212931_at,582.3922,579.2868,377.0213,338.48618
212971_at,3158.6836,3112.047,1969.973,1587.9763
212986_s_at,463.39975,442.0442,350.95517,297.17383
212988_x_at,9583.884,10334.085,10334.905,10704.729
213016_at,737.8543,714.3857,598.74805,505.92023
213047_x_at,7681.149,7721.851,6961.1597,6223.9585
213050_at,496.07596,509.67676,464.33466,545.27
213080_x_at,11906.881,12089.11,10718.643,11714.698
213084_x_at,10738.734,11627.727,12155.444,11694.396
213086_s_at,2402.656,2430.7048,2303.596,2194.3645
213107_at,325.98642,303.33038,520.87506,513.6462
213113_s_at,213.46277,213.02754,181.14455,161.20543
213130_at,77.145996,74.78006,55.715374,56.844822
213135_at,600.3837,528.31085,299.64526,294.9693
213136_at,867.3333,765.7965,717.84845,655.23096
213152_s_at,179.14275,178.57683,123.47489,124.82076
213164_at,815.13416,905.8688,644.8407,590.39545
213187_x_at,9141.617,9081.152,8907.44,8568.172
213201_s_at,400.75745,437.5002,314.72665,281.28766
213214_x_at,10582.524,11447.986,11313.894,11805.317
213234_at,289.93304,265.33725,166.57408,167.76488
213236_at,216.74133,234.16447,149.20985,144.22037
213272_s_at,294.64563,294.12836,197.18597,159.331
213300_at,128.70706,137.91144,141.2233,140.66534
213308_at,342.88712,356.0342,258.74557,262.84436
213318_s_at,1315.99,1147.257,946.4003,906.42163
213347_x_at,9766.189,10610.508,9979.441,10515.762
213377_x_at,10729.779,11729.824,10976.355,11208.397
213414_s_at,12229.674,12221.584,11223.219,11698.92
213453_x_at,9313.78,9240.186,8457.411,7793.6704
213467_at,331.10638,333.15985,179.72845,176.85077
213474_at,138.03178,136.76071,96.48522,79.55738
213476_x_at,5970.805,6487.8794,6113.996,7050.3853
213477_x_at,11198.312,11994.466,11695.648,12095.105
213503_x_at,5506.322,5148.291,7035.1943,6129.0293
213508_at,907.8812,904.46326,569.39764,477.33524
213564_x_at,8981.4,8945.63,8798.092,8475.977
213567_at,311.94476,299.36948,294.17932,323.45526
213570_at,81.09252,88.37904,75.1399,68.79648
213583_x_at,10058.545,10807.935,10623.478,11499.972
213606_s_at,68.543755,65.14617,56.239,51.010147
213614_x_at,12247.505,12648.707,11923.059,12204.138
213617_s_at,971.9562,901.1612,864.3891,790.1153
213639_s_at,120.41043,127.45044,85.78135,77.27441
213646_x_at,8275.328,9492.272,9535.862,10055.6
213649_at,1278.8125,1165.4645,1037.2007,923.48486
213681_at,94.54618,100.3492,68.33427,67.47009
213687_s_at,9355.295,9606.146,8777.853,7783.101
213713_s_at,136.71701,125.14785,85.41198,90.23189
213738_s_at,8776.141,9410.732,8645.582,8096.11
213746_s_at,378.971,376.14804,325.14774,376.21765
213753_x_at,898.3836,1027.8942,886.8494,936.15063
213801_x_at,10073.25,10715.461,10165.918,10725.624
213811_x_at,1242.1573,1241.2577,733.91943,789.21063
213828_x_at,10105.637,10507.7705,9796.786,10422.233
213860_x_at,3837.2754,3921.262,3736.3936,3178.5947
213867_x_at,10291.914,10455.01,10888.371,11101.963
213887_s_at,1082.3735,1198.2167,919.34064,897.6095
213890_x_at,8888.777,9332.62,8265.974,7190.376
213911_s_at,7819.778,8521.048,8526.372,8407.018
213941_x_at,8518.947,9122.101,8653.827,8785.812
213947_s_at,374.70566,379.98294,248.38303,248.64316
213986_s_at,71.59136,69.9666,54.590008,47.091755
214003_x_at,11125.788,11179.207,11422.293,12041.719
214022_s_at,9355.178,9058.472,5838.0913,5873.3076
214035_x_at,681.8281,768.0271,496.8843,452.487
214039_s_at,11253.536,11606.095,9202.447,7784.912
214107_x_at,337.0632,314.1131,267.47745,241.38602
214126_at,161.8105,147.43475,130.91733,122.400475
214143_x_at,10167.82,11552.873,10033.94,9711.084
214167_s_at,9208.368,9220.557,7785.1797,7319.373
214201_x_at,321.9901,332.0276,285.14142,286.70657
214239_x_at,824.98486,820.42535,641.1064,520.23846
214246_x_at,296.50333,307.7566,267.0079,300.5912
214271_x_at,9538.252,9798.05,8376.724,7982.7036
214288_s_at,6841.3965,6928.3906,7160.527,6296.4053
214317_x_at,7248.8955,8028.7925,6900.359,6368.483
214327_x_at,9735.74,9977.792,9466.699,8885.229
214339_s_at,135.9238,145.50703,81.14201,87.50468
214396_s_at,421.02692,406.12286,301.12637,279.11093
214426_x_at,544.74005,621.5033,616.51166,591.20306
214526_x_at,257.49506,262.17923,189.81679,156.51315
214532_x_at,7770.4546,6869.747,5462.9243,5307.72
214548_x_at,6120.5146,6136.188,5419.514,4487.359
214553_s_at,388.86398,398.3708,294.8161,269.00787
214629_x_at,7920.297,7316.239,7598.97,6723.2627
214663_at,123.29097,134.50536,87.82775,78.50056
214679_x_at,202.72057,205.61703,180.90073,156.45435
214687_x_at,4571.5063,5044.839,4329.285,3883.9382
214724_at,347.99542,327.105,273.9931,233.52667
214726_x_at,162.00256,179.47012,145.14708,155.97154
214730_s_at,1171.7867,1149.3832,871.95294,765.86633
214743_at,474.2442,476.7988,448.0459,376.30048
214775_at,71.1577,69.866745,36.59249,40.860607
214784_x_at,470.4247,421.2023,586.4936,563.00836
214789_x_at,772.3015,767.82355,675.4084,559.2361
214850_at,94.72622,87.85388,86.26456,83.41484
214870_x_at,895.66895,861.2231,620.05927,500.8981
214894_x_at,942.0412,922.5282,865.1419,747.0738
214919_s_at,180.32806,200.75398,150.57104,158.18982
214938_x_at,7125.3735,7835.3833,7708.5195,7781.789
214965_at,186.83908,162.87366,137.92894,142.49872
214991_s_at,66.97841,64.68732,61.39041,59.444805
215004_s_at,190.15405,198.05809,169.54369,173.38408
215084_s_at,627.3232,621.0897,450.3144,438.7189
215113_s_at,223.02942,253.41476,206.67981,206.84663
215157_x_at,8686.38,8807.547,8817.817,8675.959
215167_at,82.72115,76.20685,91.52928,82.82205
215222_x_at,745.22565,699.36584,669.70264,600.89075
215416_s_at,1673.6865,1623.9235,1217.4792,1005.8193
215482_s_at,759.1956,705.0232,535.70123,584.29443
215549_x_at,198.74203,212.54424,58.19022,43.579525
215568_x_at,256.91663,269.59,207.81319,244.63489
215631_s_at,467.81332,436.49496,453.0281,476.44687
215690_x_at,250.88683,232.38283,218.9711,216.82767
215773_x_at,864.1508,917.00085,799.4031,798.4567
215780_s_at,8152.0522,7912.1855,7529.4927,6788.401
215823_x_at,9611.145,9291.243,8351.953,7426.909
215952_s_at,8429.287,8904.809,7467.444,7055.1357
215963_x_at,9643.519,10460.733,9041.87,8706.748
216032_s_at,986.54,867.7984,561.6998,546.8637
216226_at,109.60043,105.17609,116.56206,101.30599
216232_s_at,492.23843,453.7804,379.2447,342.0357
216267_s_at,98.97044,95.481316,96.431725,93.24768
216295_s_at,3785.3586,3707.7837,3229.4185,2766.3816
216323_x_at,482.23364,450.45078,604.9668,654.6032
216326_s_at,770.26825,716.3098,613.3759,536.19794
216342_x_at,7466.4126,7704.2607,7852.593,7194.9023
216348_at,2261.019,2208.251,1531.2549,1277.6523
216379_x_at,10399.131,11435.121,10610.979,9842.399
216380_x_at,1878.0342,1840.8253,1255.2329,1224.5311
216397_s_at,149.44376,133.71654,132.10417,132.06004
216438_s_at,11919.434,11319.467,12361.098,12383.523
216468_s_at,166.312,179.71996,75.23779,67.622284
216520_s_at,10097.811,9844.098,9463.953,9487.3545
216551_x_at,98.577835,96.61625,140.18558,159.03915
216620_s_at,846.60095,930.45685,653.28735,595.2146
216843_x_at,312.69995,332.41122,237.87654,205.44177
216863_s_at,312.6611,293.61105,217.73692,180.1275
216903_s_at,339.88394,338.5464,235.62973,215.3094
216958_s_at,235.80495,227.17662,223.51625,188.13475
216993_s_at,77.876175,80.89057,52.274326,46.854046
217047_s_at,222.00508,248.75833,244.53336,245.98877
217191_x_at,151.2749,160.77623,114.13505,128.72935
217211_at,300.6524,335.57278,386.34814,415.07425
217256_x_at,4619.152,4582.2256,3883.1553,3429.6416
217398_x_at,8288.856,9020.957,8423.673,7926.9697
217407_x_at,150.08958,136.75995,127.75359,127.37518
217492_s_at,814.2116,954.1582,902.2454,890.01605
217553_at,177.15604,160.11055,114.59685,121.74069
217691_x_at,82.0734,87.75425,104.13984,93.59935
217704_x_at,149.15114,161.76308,47.759785,48.725018
217714_x_at,127.79823,144.27638,176.47835,157.58499
217718_s_at,6076.8223,6188.308,5852.3027,4898.555
217749_at,620.731,597.3474,524.7413,552.43726
217750_s_at,905.05774,878.817,705.2562,759.4712
217753_s_at,9390.996,9601.88,9279.7705,8706.495
217756_x_at,4645.744,4237.198,4030.0647,4120.354
217763_s_at,695.3305,631.3911,471.57452,409.44247
217764_s_at,820.61194,876.35205,617.7792,582.06274
217765_at,441.00314,423.8784,275.48868,295.79565
217782_s_at,440.24902,473.33563,412.15063,361.75662
217786_at,1159.4363,1197.77,1090.7375,970.2435
217806_s_at,597.77124,515.9329,470.22916,448.15225
217835_x_at,3859.5322,3647.5408,3504.808,3839.483
217841_s_at,243.81976,231.45847,227.5507,208.8058
217854_s_at,1903.973,2053.785,1626.9083,1677.0544
217865_at,921.6584,832.2892,629.4857,547.23364
217886_at,930.33014,865.06757,534.5706,489.5506
217926_at,1657.2705,1892.6805,1473.8027,1448.4648
217927_at,3657.1934,3836.786,3418.9846,2898.1519
217929_s_at,212.51874,238.94395,108.3846,111.39013
217939_s_at,445.82626,411.45758,364.4887,344.04663
217943_s_at,242.8711,266.10327,261.16214,272.73126
217960_s_at,1362.665,1543.0713,1347.5133,1374.8317
217963_s_at,9490.158,8363.98,9087.986,8348.188
218037_at,264.6574,278.50974,192.73874,210.21295
218052_s_at,248.09209,249.86986,265.28568,278.4214
218057_x_at,1401.2118,1321.0146,1110.8732,954.191
218064_s_at,280.72037,259.31387,138.16547,130.10446
218066_at,585.2601,550.5543,387.07285,460.15646
218107_at,1268.8276,1142.3177,1246.5325,1183.9751
218114_at,118.68047,128.11742,107.36875,97.18168
218121_at,78.76029,86.75292,83.16507,76.96802
218192_at,612.7251,564.0935,500.11496,525.6307
218210_at,427.95346,378.94672,341.06824,375.58304
218213_s_at,5272.154,5801.3174,5174.0425,4572.3345
218220_at,622.2313,652.1341,462.1614,426.0316
218225_at,240.9845,256.91885,205.0063,199.71158
218247_s_at,2232.4417,2386.2422,2461.773,2118.77
218248_at,319.94244,331.27057,267.93738,225.31667
218261_at,617.58527,610.45264,346.7458,401.47546
218262_at,508.67407,536.06287,234.16261,244.35464
218291_at,593.9223,663.9555,557.79877,489.39496
218335_x_at,322.0412,295.27658,319.63193,317.75635
218338_at,2690.7083,2631.3953,2006.0255,1795.4861
218434_s_at,548.3,574.13794,482.3615,408.9872
218436_at,74.39051,79.152756,63.30785,61.20586
218441_s_at,316.07684,302.73425,225.88014,192.51056
218448_at,1676.7108,1707.3715,1125.5084,900.8604
218452_at,249.64177,221.04688,183.14983,201.24287
218471_s_at,155.44435,165.06238,130.12662,114.89943
218496_at,692.6056,788.268,641.504,590.4852
218524_at,151.70154,165.60977,128.13779,133.45616
218606_at,641.3798,734.1902,632.23895,649.8344
218608_at,89.84558,97.256874,63.881798,61.70038
218620_s_at,85.07437,84.70023,59.864403,54.452515
218624_s_at,211.50624,217.34981,146.67168,120.72549
218633_x_at,386.2935,407.87054,356.0994,311.93713
218659_at,593.6832,668.6732,446.7827,476.59808
218680_x_at,1659.4302,1772.6134,1805.1984,1684.2346
218744_s_at,247.79362,258.82428,181.67104,147.96407
218770_s_at,167.7269,172.7343,94.32545,88.79508
218774_at,368.11716,389.984,305.29352,262.44522
218780_at,347.81143,308.3351,191.28638,203.11647
218786_at,81.797714,89.310814,83.35515,90.56174
218855_at,139.29445,147.43289,80.68876,80.91509
218858_at,318.15906,307.2462,62.75922,54.423492
218865_at,290.42813,309.95444,299.3693,325.65366
218916_at,99.93463,97.63335,73.654366,64.030914
218927_s_at,177.52625,178.65292,159.21623,170.77028
218928_s_at,101.23691,93.477974,89.15987,83.40674
218967_s_at,216.88113,245.87074,341.49982,325.5637
218970_s_at,637.3659,619.2151,419.1536,366.3906
219052_at,144.83568,159.6418,115.46556,120.379395
219061_s_at,637.70306,621.48444,354.26407,397.0497
219071_x_at,183.1721,175.08775,185.28757,205.935
219098_at,285.82645,305.32257,295.3529,309.7097
219126_at,677.6825,621.23224,628.0775,710.42194
219155_at,723.8543,685.8318,485.5568,433.34656
219188_s_at,98.51458,103.456406,41.199417,41.872215
219291_at,363.4102,350.83688,338.71313,371.89255
219293_s_at,4528.119,4754.7656,3914.9243,3312.618
219301_s_at,493.06918,459.55426,553.9175,499.87665
219357_at,566.04486,587.6543,404.41342,357.24832
219418_at,228.40346,204.29214,152.88962,134.68806
219429_at,227.42755,213.52472,87.358025,83.8338
219462_at,189.92172,177.65561,108.937935,98.1726
219464_at,550.84265,545.3363,422.65067,416.74857
219499_at,110.79519,98.755104,120.18587,109.94079
219509_at,98.08876,91.977165,26.027655,25.806225
219521_at,132.26076,149.07794,179.18166,173.0813
219538_at,68.02646,67.615555,62.310993,55.874096
219550_at,85.414635,85.08185,13.908154,15.403975
219559_at,146.98312,147.50269,100.13655,102.325676
219591_at,87.924034,98.11623,88.717575,93.03517
219626_at,210.67021,209.85426,238.57921,215.581
219718_at,122.71725,119.61493,72.093094,84.32975
219736_at,254.34686,243.90488,158.90605,129.23932
219762_s_at,6523.811,6642.878,5916.026,5086.169
219767_s_at,210.06189,212.85342,162.27356,153.90785
219801_at,76.65248,79.19269,53.27354,45.591957
219821_s_at,142.76787,163.42384,164.45297,159.94638
219823_at,9609.747,10026.938,8731.162,7776.333
219826_at,215.99786,210.98677,183.8535,155.4258
219920_s_at,102.48309,116.50621,101.199135,111.37817
219923_at,108.92108,103.94637,79.96613,72.5852
219924_s_at,240.5485,221.45009,135.15706,159.04825
219931_s_at,117.8803,115.72135,74.65735,63.741817
219937_at,298.28638,275.84677,121.21384,141.1143
219940_s_at,873.7803,919.94794,910.6557,904.11536
219976_at,215.91565,228.38095,110.96036,88.251045
219982_s_at,138.21503,120.501884,130.94064,123.64968
219988_s_at,484.68356,503.886,327.68674,396.10858
220033_at,131.83719,131.63594,101.932625,89.86093
220058_at,130.90755,138.12315,76.28423,70.72846
220085_at,1906.0294,1862.9199,954.90906,731.96106
220157_x_at,149.66792,153.4541,135.13933,140.59721
220161_s_at,1573.9868,1616.8048,916.0854,716.7972
220184_at,6098.4116,5842.67,3489.7651,3783.5498
220227_at,100.63604,93.866,62.947144,55.556053
220244_at,82.17011,86.30277,47.241993,50.62187
220398_at,51.876476,51.54881,40.40277,41.77951
220459_at,159.1872,169.66237,103.31614,108.12741
220482_s_at,58.9671,58.722527,47.647068,44.567425
220486_x_at,134.04793,151.85815,162.36804,151.59813
220610_s_at,181.89545,173.35559,217.11021,197.8363
220721_at,80.28063,80.72493,60.57686,51.70508
220760_x_at,335.16443,319.2305,194.70651,156.1429
220948_s_at,2458.3188,2236.0542,2259.044,1950.036
220960_x_at,8747.951,8832.134,8132.923,7892.012
220968_s_at,175.47607,162.05655,142.57712,145.79207
221036_s_at,109.63105,110.27953,72.76975,74.096245
221069_s_at,503.4232,488.5113,363.43155,313.2391
221207_s_at,426.58167,411.08105,423.19107,437.58063
221247_s_at,272.7904,271.42014,227.52641,227.29454
221269_s_at,288.1841,319.90924,291.0685,271.4377
221270_s_at,235.08762,230.37363,138.09357,113.452225
221475_s_at,11250.375,12471.489,9829.623,11086.649
221479_s_at,938.18134,961.7971,729.21796,652.9407
221494_x_at,3522.3857,3336.91,2795.2654,2470.8293
221587_s_at,184.20634,207.2769,157.66164,143.36044
221597_s_at,819.4356,773.6919,823.5796,762.1286
221604_s_at,125.07487,117.81249,110.2849,108.78322
221607_x_at,10176.399,11099.0205,11254.116,11509.318
221686_s_at,110.11291,99.283424,59.91272,59.602943
221706_s_at,98.819855,93.29229,53.701164,60.26755
221734_at,409.01343,387.0639,337.18378,280.58826
221743_at,4756.139,4328.112,4207.7065,3748.5603
221775_x_at,8513.757,8973.39,8074.117,7707.47
221777_at,204.22491,211.84059,159.18724,154.71466
221783_at,96.17638,88.715965,69.6281,71.67425
221789_x_at,293.44806,273.34564,199.56154,208.70769
221791_s_at,8892.65,9932.037,9464.772,8431.288
