,Experiment,Experiment,Control,Control
200602_at,3707.3352,3510.8372,3211.583,2708.3853
200614_at,5680.6973,5857.539,5569.403,5248.9146
200627_at,9400.859,9661.097,8910.674,8292.199
200630_x_at,9370.645,9907.998,8934.668,8558.656
200633_at,9238.005,10152.278,9310.363,8521.893
200643_at,441.14075,432.57468,380.2372,390.5477
200651_at,9506.168,9851.604,8593.191,8807.163
200657_at,6853.337,7037.855,6428.4883,6166.27
200668_s_at,5250.608,5578.3267,5346.731,5115.132
200672_x_at,453.63614,446.3606,441.80115,481.87772
200674_s_at,7715.8457,8371.564,7491.1016,7308.5435
200675_at,3179.923,3238.6902,3064.867,3601.339
200689_x_at,8021.069,8348.116,7328.858,7116.0396
200701_at,3572.3958,3473.0276,2656.419,2483.6824
200703_at,6705.478,7243.435,7061.22,7681.667
200716_x_at,11001.352,11532.974,9857.173,9798.0625
200717_x_at,11788.933,12769.634,12350.079,11925.62
200718_s_at,8257.334,9436.51,9108.465,8652.191
200725_x_at,6511.859,6875.649,5831.839,6085.3926
200735_x_at,10781.653,11253.41,10380.141,9160.418
200741_s_at,10502.319,11018.964,10036.216,10552.919
200744_s_at,1285.5201,1354.2634,1298.1259,1117.4716
200763_s_at,11176.48,12295.503,10945.714,11176.62
200773_x_at,8168.7964,8404.384,8071.166,8250.765
200775_s_at,5756.607,6604.3,6336.774,6620.2144
200780_x_at,6925.5703,6681.699,6028.3066,5505.459
200781_s_at,8520.085,9344.016,8674.623,8444.714
200801_x_at,11726.94,11661.565,11716.31,13128.767
200807_s_at,10427.022,11706.191,11104.062,11332.847
200809_x_at,10019.604,10738.479,9057.483,8993.628
200817_x_at,12174.382,12408.934,12251.562,12451.2
200824_at,7882.3096,7114.135,4863.0874,4340.9717
200834_s_at,10176.454,10476.241,9385.652,9845.972
200844_s_at,5559.247,6431.017,5225.1973,4864.724
200858_s_at,10797.344,10728.63,9299.01,8858.662
200863_s_at,2874.0125,3031.6519,2831.7568,2467.6267
200867_at,575.2271,641.1657,534.9383,487.1962
200869_at,10176.804,10673.37,9447.67,8848.59
200871_s_at,2942.604,3012.49,2369.975,1988.929
200872_at,3206.725,3577.5806,4369.193,3969.2847
200876_s_at,5915.1772,6579.7275,6115.213,5772.051
200885_at,385.50754,397.15997,530.9766,497.60446
200886_s_at,6251.482,7168.1895,6762.174,6294.7363
200909_s_at,10997.156,11982.388,10161.175,9271.272
200926_at,13269.396,13528.281,13016.463,12715.606
200929_at,1226.0522,1126.1462,1335.961,1310.8977
200931_s_at,4931.1445,5775.7837,6502.9116,6063.0874
200933_x_at,11044.619,10981.501,11255.687,11138.194
200936_at,10286.969,9990.866,8634.6045,8144.84
200937_s_at,10770.05,10879.126,9648.895,8210.009
200949_x_at,9160.345,8880.837,8466.904,8662.292
200954_at,512.3653,481.92007,464.52716,512.1476
200963_x_at,11596.562,11745.226,11038.867,10656.366
200966_x_at,4697.0566,4943.1616,4251.5884,3793.6702
200971_s_at,2882.6067,3195.8923,2589.889,2388.4011
200980_s_at,1414.4901,1616.3422,1295.543,1243.8894
200981_x_at,6794.9062,6578.758,5451.5825,5157.1367
200989_at,5780.604,6144.6064,6552.3486,5725.0376
201000_at,2778.9402,2659.5254,1199.5671,1047.2911
201004_at,2300.3,2453.1438,1937.6401,1753.2349
201005_at,3774.013,3487.7195,2592.191,2532.2678
201020_at,2282.3967,2385.4412,2463.5327,2419.21
201030_x_at,8345.513,9011.85,7973.269,6947.0376
201033_x_at,9328.864,9347.667,8844.263,9206.822
201049_s_at,9651.28,10100.234,9718.026,10186.98
201058_s_at,174.43446,226.89267,491.071,470.82913
201090_x_at,7630.8286,8502.891,8519.865,9300.258
201094_at,11065.607,12141.743,10659.4375,10316.012
201106_at,3833.2925,4087.669,2200.9482,2004.9901
201114_x_at,4208.513,4285.1675,4304.2056,3661.1238
201122_x_at,1957.7533,1896.2572,2006.19,1855.06
201165_s_at,1408.6489,1399.9952,1512.69,1285.1361
201174_s_at,282.69183,303.99942,215.2421,195.89574
201193_at,4458.802,5081.7627,4486.9526,4126.023
201195_s_at,3817.0464,3153.0366,4329.949,4230.2153
201217_x_at,11779.92,11845.184,10210.077,10172.143
201220_x_at,4467.387,4281.079,4218.685,3532.8816
201245_s_at,1013.6983,1023.72656,846.22437,777.9444
201252_at,1106.5088,1093.118,979.83545,1019.3676
201254_x_at,12660.887,12555.689,11800.473,11546.552
201256_at,2369.9312,2119.2153,1781.5707,1579.9819
201257_x_at,12361.727,12299.852,11932.362,11833.374
201258_at,9470.148,9730.625,7987.6763,7645.446
201268_at,4686.8867,4973.838,4010.757,3659.856
201271_s_at,591.64685,556.86743,435.69327,381.91492
201273_s_at,7673.5566,8229.81,7584.076,7185.577
201274_at,2337.5579,2628.2053,2519.5596,2403.5757
201277_s_at,5726.983,6771.2407,6735.736,6354.694
201288_at,36.860306,38.68544,66.22933,68.296265
201293_x_at,9167.015,10554.936,9956.55,10326.226
201301_s_at,853.0071,778.5736,583.0494,550.7684
201354_s_at,211.71649,229.89009,150.5414,127.336586
201383_s_at,117.539764,127.78839,102.193085,110.517044
201390_s_at,2331.5654,2195.5078,1871.7952,1998.8022
201394_s_at,473.9164,465.93506,294.46823,240.37746
201406_at,10379.619,10556.136,9559.391,8446.913
201417_at,6067.153,5296.2944,4145.721,4457.228
201429_s_at,11873.971,12286.225,12195.598,12182.102
201439_at,109.520294,114.13614,102.648285,91.08869
201453_x_at,5151.971,5139.542,4738.296,3956.051
201460_at,295.48627,297.577,200.98476,182.89569
201480_s_at,387.99918,366.262,326.39136,305.41605
201492_s_at,9784.678,10164.654,10164.822,10571.044
201502_s_at,506.13867,492.0559,475.26822,436.1973
201511_at,654.1607,739.9707,627.6003,593.3972
201522_x_at,7442.897,7008.7593,6189.973,6776.1304
201526_at,844.24756,876.5068,623.32104,580.4053
201544_x_at,3909.0903,4276.028,3715.3477,3243.0242
201545_s_at,1079.5768,1158.445,965.92395,871.7881
201550_x_at,9590.342,10573.623,10465.631,10829.997
201564_s_at,690.4014,768.1738,684.35406,748.92993
201574_at,3048.583,2883.2166,2854.2861,2401.0747
201576_s_at,917.35254,858.26666,618.4906,558.53674
201578_at,7414.0283,7932.332,7606.2876,7770.8555
201583_s_at,633.2499,610.0597,575.0127,482.0628
201590_x_at,5412.98,5461.9673,7134.069,6186.5166
201592_at,4726.0806,4689.127,3585.3672,3402.8137
201600_at,5660.276,5628.9,4520.9683,4008.4749
201620_at,248.15794,225.90463,284.7515,261.1637
201629_s_at,1162.8142,1192.3351,1192.3832,1023.8592
201639_s_at,398.47375,383.50262,335.9339,283.35507
201665_x_at,8468.919,8681.862,8197.677,7849.832
201667_at,9400.729,9698.068,9926.8125,10065.642
201671_x_at,1304.0879,1495.9551,1096.4963,1041.3068
201678_s_at,340.00348,302.27893,362.3643,333.94522
201703_s_at,345.606,316.34586,277.83783,256.6715
201706_s_at,281.91068,307.56442,189.85695,218.68237
201731_s_at,1116.9501,1132.6451,1069.4679,1052.7203
201761_at,5871.2896,5252.1978,2936.8752,2600.7866
201762_s_at,2007.2843,1994.5457,1701.6296,1766.6814
201794_s_at,351.022,348.2732,321.44717,276.71738
